true_label,protein_type,prediction_score
0,Disordered,0.876057077
0,Disordered,0.591568253
0,Disordered,0.648505245
0,Disordered,0.556543709
0,Disordered,0.771829956
0,Disordered,0.397229988
0,Disordered,0.676735968
0,Disordered,0.196435528
0,Disordered,0.693037622
0,Disordered,0.673040179
0,Disordered,0.581804476
0,Disordered,0.536399009
0,Disordered,0.654103939
0,Disordered,0.824542843
0,Disordered,0.502100182
0,Disordered,0.647171281
0,Disordered,0.524591339
0,Disordered,0.652183895
0,Disordered,0.601944329
0,Disordered,0.747507707
0,Disordered,0.847997079
0,Disordered,0.648509621
0,Disordered,0.832295285
0,Disordered,0.563152639
0,Disordered,0.282617594
0,Disordered,0.669612851
0,Disordered,0.747275989
0,Disordered,0.552811678
0,Disordered,0.767779381
0,Disordered,0.291483661
0,Disordered,0.079640056
0,Disordered,0.799305648
0,Disordered,0.536834888
0,Disordered,0.521018033
0,Disordered,0.600039487
0,Disordered,0.895211218
0,Disordered,0.815616205
0,Disordered,0.581395668
0,Disordered,0.620737047
0,Disordered,0.64459483
0,Disordered,0.650012832
0,Disordered,0.907404758
0,Disordered,0.620846887
0,Disordered,0.946293138
0,Disordered,0.764574519
0,Disordered,0.409861155
0,Disordered,0.600965213
0,Disordered,0.273310637
0,Disordered,0.846262785
0,Disordered,0.808254316
0,Disordered,0.734423422
0,Disordered,0.896392889
0,Disordered,0.921831403
0,Disordered,0.593472218
0,Disordered,0.838283996
0,Disordered,0.660911704
0,Disordered,0.687832517
0,Disordered,0.502900897
0,Disordered,0.335082414
0,Disordered,0.331550473
0,Disordered,0.712747332
0,Disordered,0.926444727
0,Disordered,0.233578853
0,Disordered,0.856500311
0,Disordered,0.570456283
0,Disordered,0.129558856
0,Disordered,0.635944317
0,Disordered,0.504068675
0,Disordered,0.796082415
0,Disordered,0.209523877
0,Disordered,0.352361544
0,Disordered,0.537174788
0,Disordered,0.868555958
0,Disordered,0.526661089
0,Disordered,0.472843803
0,Disordered,0.691135129
0,Disordered,0.699277773
0,Disordered,0.86313643
0,Disordered,0.358230279
0,Disordered,0.812665179
