true_label,prediction_score
0,0.086
0,0.070
0,0.092
0,0.620
0,0.100
0,0.120
0,0.084
0,0.430
0,0.095
0,0.140
0,0.082
0,0.098
0,0.098
0,0.066
0,0.250
0,0.140
0,0.520
0,0.100
0,0.140
0,0.400
0,0.110
0,0.150
0,0.120
0,0.090
0,0.150
0,0.220
0,0.510
0,0.083
0,0.230
0,0.150
0,0.160
0,0.120
0,0.092
0,0.076
0,0.110
0,0.072
0,0.059
0,0.200
0,0.081
0,0.100
0,0.210
0,0.130
0,0.270
0,0.120
0,0.083
0,0.210
0,0.210
0,0.130
0,0.160
0,0.065
0,0.400
0,0.100
0,0.270
0,0.094
0,0.270
0,0.270
0,0.270
0,0.088
0,0.190
0,0.074
0,0.160
0,0.110
0,0.180
0,0.083
0,0.490
0,0.410
0,0.095
0,0.100
0,0.370
0,0.082
0,0.280
0,0.420
0,0.230
0,0.140
0,0.075
0,0.210
0,0.400
0,0.210
0,0.073
0,0.130
0,0.280
0,0.071
0,0.360
0,0.096
0,0.160
0,0.110
0,0.098
0,0.130
0,0.410
0,0.066
0,0.061
0,0.130
0,0.072
0,0.140
0,0.130
0,0.110
0,0.170
0,0.110
0,0.089
0,0.080
1,0.200
1,0.720
1,0.850
1,0.820
1,0.790
1,0.770
1,0.260
1,0.700
1,0.900
1,0.650
1,0.680
1,0.650
1,0.890
1,0.370
1,0.830
1,0.810
1,0.710
1,0.870
1,0.700
1,0.800
1,0.670
1,0.480
1,0.550
1,0.900
1,0.850
1,0.890
1,0.900
1,0.860
1,0.790
1,0.860
1,0.730
1,0.810
1,0.900
1,0.570
1,0.880
1,0.700
1,0.810
1,0.870
1,0.790
1,0.370
1,0.820
1,0.820
1,0.820
1,0.860
1,0.810
1,0.560
1,0.590
1,0.680
1,0.860
1,0.420
1,0.890
1,0.510
1,0.830
1,0.750
1,0.900
1,0.390
1,0.840
1,0.630
1,0.790
1,0.760
1,0.320
1,0.890
1,0.890
1,0.830
1,0.820
1,0.830
1,0.870
1,0.580
1,0.780
1,0.360
1,0.900
1,0.790
1,0.550
1,0.340
1,0.590
1,0.440
1,0.510
1,0.780
1,0.900
1,0.830
1,0.870
1,0.880
1,0.760
1,0.450
1,0.720
1,0.680
1,0.820
1,0.830
1,0.430
1,0.840
1,0.260
1,0.660
1,0.340
1,0.900
1,0.920
1,0.690
1,0.890
1,0.900
1,0.590
1,0.640
