true_label,prediction_score
0,0.480
0,0.400
0,0.093
0,0.210
0,0.150
0,0.090
0,0.210
0,0.210
0,0.210
0,0.092
0,0.140
0,0.083
0,0.084
0,0.190
0,0.098
0,0.410
0,0.210
0,0.210
0,0.220
0,0.083
0,0.210
0,0.210
0,0.083
0,0.19
0,0.24
0,0.21
0,0.38
0,0.19
0,0.21
0,0.19
1,0.170
1,0.410
1,0.430
1,0.550
1,0.540
1,0.140
1,0.900
1,0.640
1,0.150
1,0.400
1,0.560
1,0.840
1,0.360
1,0.660
1,0.480
1,0.680
1,0.270
1,0.410
1,0.630
1,0.280
1,0.690
1,0.550
1,0.390
1,0.290
1,0.760
1,0.370
1,0.500
1,0.150
1,0.330
1,0.270
