true_label,prediction_score
0,0.252
0,0.209
0,0.132
0,0.106
0,0.120
0,0.112
0,0.105
0,0.110
0,0.105
0,0.193
0,0.258
0,0.170
0,0.115
0,0.101
0,0.109
0,0.155
0,0.140
0,0.105
0,0.106
0,0.133
0,0.105
0,0.105
0,0.1331
0,0.1245
0,0.1542
0,0.1051
0,0.2204
0,0.1245
0,0.1088
0,0.1245
1,0.200
1,0.158
1,0.186
1,0.203
1,0.921
1,0.173
1,1.000
1,0.985
1,0.152
1,0.119
1,0.705
1,0.995
1,0.263
1,0.315
1,0.974
1,0.952
1,0.187
1,0.138
1,0.688
1,0.210
1,0.722
1,0.536
1,0.167
1,0.136
1,0.398
1,0.188
1,0.528
1,0.164
1,0.459
1,0.224
