true_label,prediction_score
0,0.180
0,0.173
0,0.583
0,0.643
0,0.754
0,0.546
0,0.761
0,0.514
0,0.766
0,0.851
0,0.759
0,0.759
0,0.759
0,0.872
0,0.864
0,0.864
0,0.288
0,0.767
0,0.767
0,0.767
0,0.759
0,0.612
0,0.769589781
0,0.758855318
0,0.73109801
0,0.808941292
0,0.758855318
0,0.788037337
0,0.5272169
0,0.812331123
1,0.241
1,0.416
1,0.009
1,0.602
1,0.914
1,0.346
1,0.415
1,0.591
1,0.038
1,0.761
1,0.040
1,0.934
1,0.006
1,0.005
1,0.064
1,0.986
1,0.293
1,0.685
1,0.004
1,0.004
1,0.924
1,0.867
1,0.068
1,0.550
1,0.736
1,0.265
1,0.497
1,0.379
1,0.172
1,0.470
