true_label,prediction_score
0,0.761
0,0.235
0,0.004
0,0.009
0,0.013
0,0.003
0,0.011
0,0.046
0,0.011
0,0.000
0,0.041
0,0.010
0,0.005
0,0.013
0,0.269
0,0.811
0,0.001
0,0.011
0,0.010
0,0.008
0,0.011
0,0.011
0,0.008
0,0.002
0,0.235
0,0.011
0,0.145
0,0.002
0,0.014
0,0.002
1,0.241
1,0.145
1,0.232
1,0.993
1,0.985
1,0.227
1,1.000
1,0.999
1,0.262
1,0.062
1,0.967
1,1.000
1,0.076
1,0.998
1,0.927
1,0.998
1,0.955
1,0.954
1,0.996
1,0.419
1,0.996
1,0.979
1,0.437
1,0.584
1,0.961
1,0.026
1,0.308
1,0.007
1,0.181
1,0.119
