true_label,prediction_score
0,0.306
0,0.275
0,0.228
0,0.501
0,0.225
0,0.448
0,0.207
0,0.231
0,0.392
0,0.313
0,0.378
0,0.378
0,0.378
0,0.243
0,0.140
0,0.140
0,0.672
0,0.079
0,0.079
0,0.079
0,0.378
0,0.026
0,0.42654
0,0.3784
0,0.39824
0,0.14124
0,0.3784
0,0.3865
0,0.24724
0,0.24432
1,0.587
1,0.335
1,0.583
1,0.230
1,0.643
1,0.175
1,0.368
1,0.141
1,0.613
1,0.596
1,0.637
1,0.376
1,0.487
1,0.561
1,0.709
1,0.803
1,0.601
1,0.398
1,0.504
1,0.624
1,0.459
1,0.797
1,0.545
1,0.148
1,0.545
1,0.670
1,0.326
1,0.190
1,0.648
1,0.718
