true_label,prediction_score
0,0.1097
0,0.1238
0,0.1158
0,0.2741
0,0.1367
0,0.1269
0,0.1177
0,0.1493
0,0.1343
0,0.1252
0,0.1674
0,0.1627
0,0.1548
0,0.135
0,0.488
0,0.2236
0,0.4389
0,0.2415
0,0.1401
0,0.5457
0,0.1157
0,0.1402
0,0.3634
0,0.112
0,0.1565
0,0.6898
0,0.1769
0,0.1919
0,0.1475
0,0.1282
0,0.147
0,0.1503
0,0.1325
0,0.1291
0,0.3375
0,0.1152
0,0.1146
0,0.2533
0,0.1049
0,0.2535
0,0.2289
0,0.1268
0,0.1862
0,0.2345
0,0.1759
0,0.4111
0,0.1454
0,0.1808
0,0.1318
0,0.1074
0,0.5457
0,0.1375
0,0.1353
0,0.14
0,0.3154
0,0.1353
0,0.2899
0,0.1012
0,0.1411
0,0.1204
0,0.1078
0,0.4945
0,0.1082
0,0.1486
0,0.5971
0,0.3329
0,0.0994
0,0.1027
0,0.2571
0,0.1278
0,0.1352
0,0.1155
0,0.2217
0,0.2854
0,0.1188
0,0.1263
0,0.2315
0,0.1689
0,0.398
0,0.1871
0,0.1581
0,0.1547
0,0.2494
0,0.1577
0,0.184
0,0.1151
0,0.4874
0,0.0992
0,0.4827
0,0.1093
0,0.1173
0,0.144
0,0.1431
0,0.2331
0,0.1439
0,0.1036
0,0.1316
0,0.1189
0,0.0983
0,0.1154
1,0.131
1,0.888
1,0.9999
1,0.938
1,0.9884
1,0.9934
1,0.1679
1,0.8034
1,1
1,0.5383
1,0.5215
1,0.3494
1,0.9916
1,0.2126
1,0.8018
1,0.9823
1,0.2719
1,0.9192
1,0.3532
1,0.5864
1,0.4081
1,0.2574
1,0.2412
1,0.9991
1,0.9998
1,0.9768
1,1
1,0.9948
1,0.9925
1,0.8943
1,0.6969
1,0.9954
1,0.9971
1,0.6951
1,0.9249
1,0.2516
1,0.9942
1,0.9788
1,0.9997
1,0.2835
1,0.9999
1,0.9806
1,0.6167
1,1
1,0.9571
1,0.2982
1,0.3498
1,0.6235
1,0.9996
1,0.2631
1,0.9999
1,0.285
1,0.9615
1,0.9706
1,1
1,0.2629
1,0.9918
1,0.2937
1,0.9998
1,0.5816
1,0.3559
1,0.9989
1,0.9998
1,0.9965
1,0.9928
1,0.9718
1,1
1,0.4888
1,0.9303
1,0.2624
1,0.9999
1,0.6864
1,0.2029
1,0.2571
1,0.2235
1,0.3589
1,0.1923
1,0.9637
1,0.9989
1,0.9982
1,1
1,0.9883
1,0.9666
1,0.3581
1,0.7622
1,0.9975
1,0.9672
1,0.9934
1,0.2806
1,0.942
1,0.1251
1,0.2954
1,0.3372
1,0.9987
1,0.9995
1,0.7205
1,0.9997
1,0.9929
1,0.3743
1,0.6281
