true_label,prediction_score
0,0.000
0,0.055
0,0.000
0,0.089
0,0.000
0,0.000
0,0.000
0,0.024
0,0.000
0,0.002
0,0.003
0,0.006
0,0.003
0,0.017
0,0.017
0,0.113
0,0.045
0,0.029
0,0.004
0,0.359
0,0.012
0,0.016
0,0.008
0,0.099
0,0.024
0,0.022
0,0.388
0,0.001
0,0.003
0,0.000
0,0.001
0,0.007
0,0.007
0,0.004
0,0.202
0,0.220
0,0.000
0,0.056
0,0.009
0,0.000
0,0.010
0,0.000
0,0.064
0,0.207
0,0.017
0,0.544
0,0.003
0,0.001
0,0.000
0,0.000
0,0.569
0,0.000
0,0.001
0,0.005
0,0.001
0,0.001
0,0.608
0,0.002
0,0.001
0,0.002
0,0.073
0,0.000
0,0.005
0,0.002
0,0.218
0,0.114
0,0.114
0,0.001
0,0.002
0,0.000
0,0.008
0,0.016
0,0.002
0,0.000
0,0.002
0,0.008
0,0.026
0,0.049
0,0.001
0,0.001
0,0.003
0,0.003
0,0.016
0,0.000
0,0.026
0,0.004
0,0.002
0,0.008
0,0.196
0,0.002
0,0.001
0,0.312
0,0.099
0,0.007
0,0.001
0,0.002
0,0.009
0,0.062
0,0.002
0,0.000
1,0.000
1,0.999
1,1.000
1,1.000
1,1.000
1,1.000
1,0.021
1,1.000
1,1.000
1,0.782
1,0.999
1,0.991
1,1.000
1,0.939
1,0.998
1,1.000
1,0.846
1,1.000
1,1.000
1,0.998
1,0.927
1,0.990
1,0.626
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,0.996
1,1.000
1,1.000
1,1.000
1,0.298
1,1.000
1,0.999
1,0.999
1,1.000
1,1.000
1,0.998
1,0.855
1,1.000
1,1.000
1,0.720
1,1.000
1,1.000
1,1.000
1,1.000
1,0.825
1,1.000
1,0.812
1,1.000
1,1.000
1,0.439
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,0.997
1,0.614
1,0.327
1,1.000
1,0.999
1,0.993
1,0.097
1,0.598
1,0.751
1,0.900
1,0.999
1,1.000
1,1.000
1,1.000
1,1.000
1,1.000
1,0.791
1,0.999
1,1.000
1,1.000
1,1.000
1,0.992
1,1.000
1,0.022
1,0.960
1,0.415
1,1.000
1,1.000
1,0.996
1,1.000
1,1.000
1,0.991
1,0.999
